,Total Emissions,Coal,Oil,Gas,Cement,Flaring
Burkina Faso,58.85967599999999,0.0,52.060492999999994,0.0,6.799182999999998,0.0
Madagascar,57.245979999999996,12.676848000000001,43.113403,0.0,1.4557270000000002,0.0
Guinea,55.62982100000001,0.0,55.62982100000001,0.0,0.0,0.0
Guadeloupe,53.234913000000006,9.889906000000002,43.34501000000001,0.0,0.0,0.0
Mali,53.141223999999994,0.0,50.528753,0.0,2.612471,0.0
Occupied Palestinian Territory,52.700828,0.0,52.689865999999995,0.0,0.0,0.010962
Malta,50.63692100000001,0.000631,47.10317099999999,3.5213889999999997,0.0,0.0
Mauritania,50.28277099999999,0.0,49.761635999999996,0.0,0.0,0.521135
Haiti,49.88372100000001,0.0,48.00964199999999,0.0,1.874082,0.0
Lesotho,49.445809999999994,37.75195,11.693859000000002,0.0,0.0,0.0
Martinique,48.970948,0.0,48.970948,0.0,0.0,0.0
Suriname,47.775205,0.0,47.042706,0.166217,0.5333070000000001,0.032976
Bahamas,47.084847999999994,0.098057,46.98679299999999,0.0,0.0,0.0
Montenegro,45.777131,28.586276,17.190858000000002,0.0,0.0,0.0
Guyana,45.36018999999999,0.0,43.58261699999999,0.0,1.002355,0.775218
Democratic Republic of the Congo,45.27149299999999,0.0,40.33893199999999,0.249234,4.683327,0.0
Togo,42.197455999999995,0.0,27.061456,0.9519330000000001,14.184066000000001,0.0
Aruba,40.116408,0.0,40.116408,0.0,0.0,0.0
Macao,33.358913,0.003664,30.145518000000006,2.197702,1.012029,0.0
Niger,32.201252999999994,6.782107999999999,23.760818,0.0,0.668957,0.9893699999999999
Barbados,28.911116,0.0,25.507881000000005,0.834634,2.3340900000000007,0.23451200000000003
Chad,27.898898999999997,0.0,23.258792000000003,0.0,1.162839,3.4772659999999997
South Sudan,27.177460999999997,0.0,27.177460999999997,0.0,0.0,0.0
Malawi,24.583187999999996,4.142901999999999,18.730323999999996,0.0,1.7099619999999995,0.0
Fiji,24.387853999999997,0.172405,24.173491999999996,0.003676,0.038281,0.0
Maldives,24.115134,0.0,24.115134,0.0,0.0,0.0
Swaziland,23.094339,7.552428,15.541911,0.0,0.0,0.0
Rwanda,18.502965,0.084763,16.310233999999998,0.615257,1.492711,0.0
Liberia,18.174685999999998,0.0,16.667159,0.0,1.507529,0.0
French Polynesia,17.947992,0.0,17.947992,0.0,0.0,0.0
Sierra Leone,17.014723999999998,0.014656,17.000068,0.0,0.0,0.0
Bhutan,16.582288000000002,4.460718999999999,7.774585000000001,0.0,4.346984000000001,0.0
Faeroe Islands,14.786103000000002,0.0,14.786103000000002,0.0,0.0,0.0
Sint Maarten (Dutch part),14.309343000000002,0.0,14.309343000000002,0.0,0.0,0.0
French Guiana,14.282694,0.0,14.282694,0.0,0.0,0.0
Eritrea,14.279209000000002,0.0,13.085902,0.0,1.193307,0.0
Somalia,13.210222000000003,0.0,13.210222000000003,0.0,0.0,0.0
Greenland,13.153452,0.0,13.153452,0.0,0.0,0.0
